Count,City,Country,Date,latitude,longitude
5,Giessen,Federal Republic of Germany,1985-01-07,50.584051,8.678403
1,Glen Cove,United States,1971-06-12,40.862322,-73.633739
2,Glendale,United States,2001-01-02,34.142508,-118.255075
1,Gode,Ethiopia,1977-03-27,5.948498,43.5655
5,Gothenburg,Sweden,1992-02-12,57.70887,11.97456
3,Graz,Austria,1998-01-04,47.070714,15.439504
1,Groningen,Netherlands,1977-05-23,53.219384,6.566502
8,Guadalajara,Mexico,1986-05-20,20.659699,-103.349609
68,Guatemala City,Guatemala,2006-04-07,14.634915,-90.506882
17,Guayaquil,Ecuador,2006-02-13,-2.170998,-79.922359
1,Hague,Netherlands,1969-09-08,52.070498,4.3007
1,Haidari,Greece,1980-05-21,38.005298,23.664275
20,Haifa,Israel,2003-10-24,32.794046,34.989571
24,Hamburg,Federal Republic of Germany,1996-07-26,53.551085,9.993682
2,Hanau,Federal Republic of Germany,1986-08-10,50.126412,8.92831
11,Hanover,Federal Republic of Germany,1992-10-12,52.375892,9.73201
1,Hasparen,France,1975-06-12,43.383952,-1.30525
14,Havana,Cuba,1997-10-01,23.113593,-82.366596
90,Hebron,West Bank/Gaza,2005-10-06,,
9,Heidelberg,Federal Republic of Germany,1986-11-16,49.398752,8.672434
4,Hendaye,France,2000-11-09,43.359399,-1.766148
1,Heraklion,Greece,1971-07-03,35.338735,25.144213
2,Hialeah,United States,1979-09-08,25.857596,-80.278106
5,Hoboken,United States,1971-08-22,40.743991,-74.032363
1,Hochum,Federal Republic of Germany,1982-06-08,,
1,Hollywood,United States,1980-10-12,26.011201,-80.14949
1,Hong Kong,Hong Kong,1982-09-20,22.278315,114.174695
1,Huehuetenango,Guatemala,1982-02-13,15.319877,-91.491824
5,Idil,Turkey,2006-07-10,37.3402,41.8934
1,Iraklion,Greece,1973-05-26,35.338735,25.144213
18,Irun,Spain,2004-09-25,43.338147,-1.788849
3,Isfahan,Iran,1978-10-25,32.654627,51.667983
2,Iskenderun,Turkey,2001-01-04,36.584673,36.175616
50,Islamabad,Pakistan,2009-10-20,33.729388,73.093146
1,Ismaram,Ethiopia,1975-10-23,,
380,Istanbul,Turkey,2009-07-27,41.008238,28.978359
1,Ituzaingo,Argentina,1970-03-24,-34.657024,-58.675398
31,Izmir,Turkey,2008-08-21,38.423734,27.142826
292,Jerusalem,Israel,2009-07-22,31.768319,35.21371
10,Johannesburg,South Africa,2002-11-24,-26.204103,28.047305
165,Kabul,Afghanistan,2009-03-18,34.555349,69.207486
1,Kaiserslautern,Federal Republic of Germany,1973-01-11,49.440066,7.749126
18,Kampala,Uganda,2001-03-16,0.347596,32.58252
161,Karachi,Pakistan,2009-09-15,24.861462,67.009939
99,Karbala,Iraq,2008-07-25,32.606846,44.010392
1,Kariba,Zimbabwe (Rhodesia),1976-12-20,-16.522046,28.850941
